post_id,event_id,athlete,match_result,event_name,event_level,round,opponent,window_start,window_end,publish_time,hours_after_event,source_keyword,content_type,text_raw,text_clean,likes,comments,shares,post_url,creator_hash,is_possible_ad,sentiment_polarity,sentiment_category,sentiment_category_secondary,sentiment_intensity,is_mixed,sentiment_score,topic_tags,viewpoint,confidence,rationale,model
5062245069099482,loss_20240731_paris_moregard,王楚钦,loss,巴黎奥运会2024男单32强,Olympic Games,round_of_32,莫雷加德,2024-07-31T17:00:00+08:00,2024-08-01T17:00:00+08:00,2024-07-31 17:05:39+08:00,0.094,王楚钦 莫雷加德 2024年7月31日,post,#王楚钦爆冷出局#在2024年7月31日巴黎奥运会乒乓球男子单打比赛之前，王楚钦与莫雷加德历史交手8次，王楚钦保持全胜，且莫雷加德每场都未赢过2局以上。奥林匹克魔物啊。#王楚钦副拍##巴黎超前线# ,#王楚钦爆冷出局#在2024年7月31日巴黎奥运会乒乓球男子单打比赛之前，王楚钦与莫雷加德历史交手8次，王楚钦保持全胜，且莫雷加德每场都未赢过2局以上。奥林匹克魔物啊。#王楚钦副拍##巴黎超前线#,150,22,0,https://m.weibo.cn/detail/5062245069099482,5a13112ca86875d1,False,neutral,中性陈述,,1,False,0.0,"[""赛果"", ""历史纪录""]",过往全胜且对手未赢过2局以上，但奥运爆冷出局。,0.9,客观陈述历史交手记录和赛果事实，无明显情绪倾向，强度极弱。,deepseek-v4-pro
5062245612523370,loss_20240731_paris_moregard,王楚钦,loss,巴黎奥运会2024男单32强,Olympic Games,round_of_32,莫雷加德,2024-07-31T17:00:00+08:00,2024-08-01T17:00:00+08:00,2024-07-31 17:07:49+08:00,0.13,王楚钦 莫雷加德 2024年7月31日,post,#王楚钦爆冷出局#昨天的事还是对他有影响，状态明显不对，有点着急了。唉，再沉淀一下吧，心疼后续继续加油！在2024年7月31日巴黎奥运会乒乓球男子单打比赛之前，王楚钦与莫雷加德历史交手8次，王楚钦保持全胜，且莫雷加德每场都未赢过2局以上。 ,#王楚钦爆冷出局#昨天的事还是对他有影响，状态明显不对，有点着急了。唉，再沉淀一下吧，心疼后续继续加油！在2024年7月31日巴黎奥运会乒乓球男子单打比赛之前，王楚钦与莫雷加德历史交手8次，王楚钦保持全胜，且莫雷加德每场都未赢过2局以上。,2,2,0,https://m.weibo.cn/detail/5062245612523370,95cbfb5b00eadb50,False,negative,支持鼓励,失望惋惜,3,True,-0.6,"[""心理心态"", ""未来展望"", ""赛果""]",心疼王楚钦受昨天事件影响导致状态不佳，希望他沉淀后继续加油。,0.9,文本表达心疼与加油，混合了支持与惋惜，主导为支持鼓励，次要为失望惋惜，情感强度中等，议题涉及心态和未来。,deepseek-v4-pro
5062247656721642,loss_20240731_paris_moregard,王楚钦,loss,巴黎奥运会2024男单32强,Olympic Games,round_of_32,莫雷加德,2024-07-31T17:00:00+08:00,2024-08-01T17:00:00+08:00,2024-07-31 17:15:56+08:00,0.266,王楚钦 莫雷加德 2024年7月31日,post,#王楚钦vs莫雷加德#第一次为一名运动员哭😭。哭，是因为心疼他好不容易一拍一拍打到男单世界第一，然后在他征战奥运男单的第二步老天爷便跟他开了个很大的玩笑，陪伴他很久的拍子被记者踩断了。2024年7月31日，他输了。 ,#王楚钦vs莫雷加德#第一次为一名运动员哭😭。哭，是因为心疼他好不容易一拍一拍打到男单世界第一，然后在他征战奥运男单的第二步老天爷便跟他开了个很大的玩笑，陪伴他很久的拍子被记者踩断了。2024年7月31日，他输了。,0,0,0,https://m.weibo.cn/detail/5062247656721642,750938cd8eac9c48,False,negative,失望惋惜,支持鼓励,4,True,-0.8,"[""心理心态"", ""赛果"", ""器材场地""]",心疼王楚钦因球拍被踩断而输球，为他感到惋惜和不平。,0.95,文本表达了对王楚钦输球的心疼和惋惜，同时隐含对他遭遇不公的同情，情感强烈。,deepseek-v4-pro
5062253252972076,loss_20240731_paris_moregard,王楚钦,loss,巴黎奥运会2024男单32强,Olympic Games,round_of_32,莫雷加德,2024-07-31T17:00:00+08:00,2024-08-01T17:00:00+08:00,2024-07-31 17:38:10+08:00,0.636,王楚钦 巴黎奥运32强 2024年7月31日,post,#孙颖莎vs倪夏莲#世界第一的孙颖莎赢了年龄为世界第一的倪夏莲。在2024年7月31日17点开始的巴黎奥运会乒乓球女子单打32强赛中，孙颖莎战胜了倪夏莲，成功晋级16强。 孙颖莎是中国优秀的乒乓球选手，而倪夏莲是卢森堡的乒乓球名将，是本次奥运会乒乓球项目中最年长的参赛者。倪夏莲早在1983年就曾代表中国女队获得团体冠军，并与郭跃华搭档获得混双冠军。 在被问起与倪夏莲的比赛时，孙颖莎曾表示，“倪阿姨是乒坛很多人的榜样，自己也非常期待跟她的交手”。两人之间跨越38岁的对决，是巴黎奥运会上引人注目的一场比赛。 此前，在巴黎奥运会乒乓球混双决赛前，倪夏莲还受中国队邀请为孙颖莎和王楚钦做陪练，她表示中国队向她提出陪练要求时自己没有一点犹豫，因为朝鲜队女选手的打法跟她一样，她觉得自己有责任去帮助中国队。倪夏莲的这种做法也赢得了众多网友的赞誉和尊重。,#孙颖莎vs倪夏莲#世界第一的孙颖莎赢了年龄为世界第一的倪夏莲。在2024年7月31日17点开始的巴黎奥运会乒乓球女子单打32强赛中，孙颖莎战胜了倪夏莲，成功晋级16强。 孙颖莎是中国优秀的乒乓球选手，而倪夏莲是卢森堡的乒乓球名将，是本次奥运会乒乓球项目中最年长的参赛者。倪夏莲早在1983年就曾代表中国女队获得团体冠军，并与郭跃华搭档获得混双冠军。 在被问起与倪夏莲的比赛时，孙颖莎曾表示，“倪阿姨是乒坛很多人的榜样，自己也非常期待跟她的交手”。两人之间跨越38岁的对决，是巴黎奥运会上引人注目的一场比赛。 此前，在巴黎奥运会乒乓球混双决赛前，倪夏莲还受中国队邀请为孙颖莎和王楚钦做陪练，她表示中国队向她提出陪练要求时自己没有一点犹豫，因为朝鲜队女选手的打法跟她一样，她觉得自己有责任去帮助中国队。倪夏莲的这种做法也赢得了众多网友的赞誉和尊重。,3,0,0,https://m.weibo.cn/detail/5062253252972076,5033a7b1665c21d7,False,positive,自豪骄傲,,2,False,0.4,"[""赛果"", ""爱国民族""]",为孙颖莎的胜利和倪夏莲的奉献精神感到自豪。,0.85,文本以赞扬孙颖莎胜利和倪夏莲陪练精神为主，情感积极，虽非直接提及王楚钦但与其相关，强度较弱。,deepseek-v4-pro
5062458068960044,loss_20240731_paris_moregard,王楚钦,loss,巴黎奥运会2024男单32强,Olympic Games,round_of_32,莫雷加德,2024-07-31T17:00:00+08:00,2024-08-01T17:00:00+08:00,2024-08-01 07:12:02+08:00,14.201,王楚钦 莫雷加德 2024年7月31日,post,#王楚钦爆冷出局# 在2024年7月31日巴黎奥运会乒乓球男子单打比赛之前，王楚钦与莫雷加德历史交手8次，王楚钦保持全胜，且莫雷加德每场都未赢过2局以上。也就是说，即使对手很有特点，但如果正常发挥，王楚钦面对他是有很大优势的，但昨天的比赛没打出水平来，只能说是王楚钦心理出了问题，影响了自身发挥。赛前的球拍事件确实有很大影响，但王楚钦首次参加奥运会，经验和压力体验不够，关键时刻欠缺心理调整能力，这也是不得不承认的……#巴黎奥运会#,#王楚钦爆冷出局# 在2024年7月31日巴黎奥运会乒乓球男子单打比赛之前，王楚钦与莫雷加德历史交手8次，王楚钦保持全胜，且莫雷加德每场都未赢过2局以上。也就是说，即使对手很有特点，但如果正常发挥，王楚钦面对他是有很大优势的，但昨天的比赛没打出水平来，只能说是王楚钦心理出了问题，影响了自身发挥。赛前的球拍事件确实有很大影响，但王楚钦首次参加奥运会，经验和压力体验不够，关键时刻欠缺心理调整能力，这也是不得不承认的……#巴黎奥运会#,41,11,2,https://m.weibo.cn/detail/5062458068960044,0e8ce862a252fef2,False,neutral,理性分析,失望惋惜,3,True,0.0,"[""心理心态"", ""技战术"", ""赛果""]",王楚钦因心理问题未能发挥正常水平导致失利,0.9,文本分析技战术、心理因素，兼有惋惜，以理性分析为主导，正负情感相抵，故判中性。,deepseek-v4-pro
5131878845383515,loss_20250208_singapore_liang,王楚钦,loss,WTT新加坡大满贯2025男单半决赛,WTT Grand Smash,semifinal,梁靖崑,2025-02-08T20:30:00+08:00,2025-02-09T20:30:00+08:00,2025-02-08 20:45:25+08:00,0.257,王楚钦 梁靖崑 2025年2月8日,post,#梁靖崑4比3王楚钦#2025年2月8日，WTT新加坡大满贯乒乓球赛男单半决赛中，中国选手梁靖崑与王楚钦展开了一场激战。经过七局较量，梁靖崑最终以4比3的总比分战胜了王楚钦，成功晋级男单决赛。比赛的具体比分为8-11、11-9、11-7、11-9、5-11、9-11、12-10。特别是在第六局和第七局，王楚钦展现了顽强的斗志，几乎实现了逆转。尽管如此，梁靖崑在关键时刻的表现更为出色，最终取得了胜利。赛后，梁靖崑在接受采访时称赞了王楚钦的实力和技术，表示两人在这场比赛中都发挥了很高的水平 ,#梁靖崑4比3王楚钦#2025年2月8日，WTT新加坡大满贯乒乓球赛男单半决赛中，中国选手梁靖崑与王楚钦展开了一场激战。经过七局较量，梁靖崑最终以4比3的总比分战胜了王楚钦，成功晋级男单决赛。比赛的具体比分为8-11、11-9、11-7、11-9、5-11、9-11、12-10。特别是在第六局和第七局，王楚钦展现了顽强的斗志，几乎实现了逆转。尽管如此，梁靖崑在关键时刻的表现更为出色，最终取得了胜利。赛后，梁靖崑在接受采访时称赞了王楚钦的实力和技术，表示两人在这场比赛中都发挥了很高的水平,4,0,0,https://m.weibo.cn/detail/5131878845383515,c68a147f1c8440cc,False,neutral,中性陈述,,1,False,0.0,"[""赛果""]",客观转述比赛过程和结果,0.95,文本为赛事报道式陈述，客观描述比分和采访，无明显情感倾向。,deepseek-v4-pro
5131935399806053,loss_20250208_singapore_liang,王楚钦,loss,WTT新加坡大满贯2025男单半决赛,WTT Grand Smash,semifinal,梁靖崑,2025-02-08T20:30:00+08:00,2025-02-09T20:30:00+08:00,2025-02-09 00:30:09+08:00,4.003,王楚钦 梁靖崑 2025年2月8日,post,2025年2月8日，在WTT新加坡大满贯男单半决赛中，中国乒乓球队员梁靖崑经过七局激战，最终以4比3击败队友王楚钦，成功晋级决赛。比赛的具体比分为8-11、11-9、11-7、11-9、5-11、9-11、12-10。王楚钦在第六局通过一次关键的暂停调整状态，成功将总比分扳成3比3平。然而，在决胜局中，当王楚钦一度以10-9领先并手握赛点时，未能抓住机会，被梁靖崑反超并赢得比赛。胜败乃兵家常事，大家实力相当，谁赢都正常！在上赛季的2024年WTT新加坡大满贯上，大头以4-1击败了大胖。希望大头能在失败中总结经验，更好地前行！好消息是国乒男女单打提前锁定冠亚军。,2025年2月8日，在WTT新加坡大满贯男单半决赛中，中国乒乓球队员梁靖崑经过七局激战，最终以4比3击败队友王楚钦，成功晋级决赛。比赛的具体比分为8-11、11-9、11-7、11-9、5-11、9-11、12-10。王楚钦在第六局通过一次关键的暂停调整状态，成功将总比分扳成3比3平。然而，在决胜局中，当王楚钦一度以10-9领先并手握赛点时，未能抓住机会，被梁靖崑反超并赢得比赛。胜败乃兵家常事，大家实力相当，谁赢都正常！在上赛季的2024年WTT新加坡大满贯上，大头以4-1击败了大胖。希望大头能在失败中总结经验，更好地前行！好消息是国乒男女单打提前锁定冠亚军。,3,1,0,https://m.weibo.cn/detail/5131935399806053,6628caaee6c99a25,False,positive,支持鼓励,,3,False,0.6,"[""赛果"", ""心理心态"", ""未来展望""]",胜负正常，希望大头总结经验继续前行。,0.9,文本虽陈述赛果，但结尾明确表达对王楚钦的鼓励和期望，整体偏向积极支持。,deepseek-v4-pro
5132033508771131,loss_20250208_singapore_liang,王楚钦,loss,WTT新加坡大满贯2025男单半决赛,WTT Grand Smash,semifinal,梁靖崑,2025-02-08T20:30:00+08:00,2025-02-09T20:30:00+08:00,2025-02-09 07:00:00+08:00,10.5,王楚钦 梁靖崑 2025年2月8日,post,#林诗栋vsA勒布伦#2025年2月8日，林诗栋在WTT新加坡大满贯赛中表现出色。在男单半决赛中，林诗栋以4-0的比分战胜了法国选手A·勒布伦，成功晋级男单决赛。此前，他还与王楚钦搭档参加了男双比赛，二人以3-1的比分战胜了勒布伦兄弟，成功晋级男双决赛。值得一提的是，这也是林诗栋与王楚钦首次搭档参赛即夺得冠军。接下来，林诗栋将在男单决赛中对阵梁靖崑，争夺最终的冠军,#林诗栋vsA勒布伦#2025年2月8日，林诗栋在WTT新加坡大满贯赛中表现出色。在男单半决赛中，林诗栋以4-0的比分战胜了法国选手A·勒布伦，成功晋级男单决赛。此前，他还与王楚钦搭档参加了男双比赛，二人以3-1的比分战胜了勒布伦兄弟，成功晋级男双决赛。值得一提的是，这也是林诗栋与王楚钦首次搭档参赛即夺得冠军。接下来，林诗栋将在男单决赛中对阵梁靖崑，争夺最终的冠军,0,0,0,https://m.weibo.cn/detail/5132033508771131,74d728aa9deeb65a,False,positive,自豪骄傲,,3,False,0.6,"[""赛果"", ""历史纪录""]",为林诗栋的胜利和与王楚钦的双打夺冠感到骄傲,0.9,文本主要陈述林诗栋单打与双打佳绩，并强调首搭档即夺冠，整体为正面赞扬，无明显混合情绪。,deepseek-v4-pro
5132051864880071,loss_20250208_singapore_liang,王楚钦,loss,WTT新加坡大满贯2025男单半决赛,WTT Grand Smash,semifinal,梁靖崑,2025-02-08T20:30:00+08:00,2025-02-09T20:30:00+08:00,2025-02-09 08:12:56+08:00,11.716,王楚钦 梁靖崑 2025年2月8日,post,2025年2月8日晚间……威武霸气！4-0！国乒包揽5冠：关键三场胜利，林诗栋头号功臣，可惜世界第一出局北京时间2月8日晚间，2025年WTT新加坡大满贯男单半决赛，林诗栋连胜四局以总局分4-0霸气横扫法国名将艾利克斯·勒布伦，由于艾利克斯·勒布伦是本届赛事最后一位国乒之外的外协会选手，因此随着艾利克斯·勒布伦的出局，国乒也就正式包揽了全部5冠！林诗栋排名世界第2，艾利克斯·勒布伦排在世界第14，两人都是男子乒坛迅速崛起的新星。本届新加坡大满贯，林诗栋以2号种子身份坐镇下半区，一路连胜黄镇廷、西蒙-高兹、安宰贤、林昀儒晋级男单四强，艾利克斯·勒布伦则是先后战胜埃尔贝亚利、篠塚大登、薛飞、邱党晋级四强。此前，林诗栋和艾利克斯·勒布伦一共交手三次，林诗栋2胜1负稍占上风。此番交手，林诗栋率先以11-8拿下第一局，艾利克斯·勒布伦在第二局以10-8率先拿到局点，林诗栋关键球连得四分以12-10逆转再胜。第三局，林诗栋牢牢掌控局面，11-7再胜之后以总局分3-0遥遥领先。第四局，艾利克斯·勒布伦在8-10落后的情况下连续挽救了两个赛点并且连得三分11-10反超，林诗栋关键时刻顶住压力回敬一波连得三分的小高潮以13-11逆转再胜，连胜四局以总局分4-0霸气横扫艾利克斯·勒布伦挺进决赛，将与梁靖崑争冠。稍早时候，第一场男单半决赛率先结束，世界第一王楚钦出局，苦战七局3-4惜败给了国乒队友梁靖崑。整场比赛，进程跌宕起伏，堪称过山车式的刺激大战！王楚钦11-8率先赢下第一局，梁靖崑11-9、11-7、11-9连扳三局反超，王楚钦11-5、11-9连追两局将比赛拖入决胜局，王楚钦在决胜局10-9领先的情况下错失赛点连丢三分最终10-12惜败，梁靖崑以总局分4-3淘汰世界第一王楚钦。尽管本届新加坡大满贯的比赛还未全部结束，不过国乒已经正式包揽了全部5个单项的冠军，林诗栋成为头号功臣，关键三场胜利居功至伟：混双决赛，林诗栋/蒯曼3-1逆转击败日本组合松岛辉空/张本美和；男双决赛，林诗栋/王楚钦3-0中国台北组合林昀儒/高承睿，击败外协会倒数第三人和第二人；男单半决赛，林诗栋4-0艾利克斯·勒布伦，淘汰外协会最后一人，直接帮助国乒包揽5冠！,2025年2月8日晚间……威武霸气！4-0！国乒包揽5冠：关键三场胜利，林诗栋头号功臣，可惜世界第一出局北京时间2月8日晚间，2025年WTT新加坡大满贯男单半决赛，林诗栋连胜四局以总局分4-0霸气横扫法国名将艾利克斯·勒布伦，由于艾利克斯·勒布伦是本届赛事最后一位国乒之外的外协会选手，因此随着艾利克斯·勒布伦的出局，国乒也就正式包揽了全部5冠！林诗栋排名世界第2，艾利克斯·勒布伦排在世界第14，两人都是男子乒坛迅速崛起的新星。本届新加坡大满贯，林诗栋以2号种子身份坐镇下半区，一路连胜黄镇廷、西蒙-高兹、安宰贤、林昀儒晋级男单四强，艾利克斯·勒布伦则是先后战胜埃尔贝亚利、篠塚大登、薛飞、邱党晋级四强。此前，林诗栋和艾利克斯·勒布伦一共交手三次，林诗栋2胜1负稍占上风。此番交手，林诗栋率先以11-8拿下第一局，艾利克斯·勒布伦在第二局以10-8率先拿到局点，林诗栋关键球连得四分以12-10逆转再胜。第三局，林诗栋牢牢掌控局面，11-7再胜之后以总局分3-0遥遥领先。第四局，艾利克斯·勒布伦在8-10落后的情况下连续挽救了两个赛点并且连得三分11-10反超，林诗栋关键时刻顶住压力回敬一波连得三分的小高潮以13-11逆转再胜，连胜四局以总局分4-0霸气横扫艾利克斯·勒布伦挺进决赛，将与梁靖崑争冠。稍早时候，第一场男单半决赛率先结束，世界第一王楚钦出局，苦战七局3-4惜败给了国乒队友梁靖崑。整场比赛，进程跌宕起伏，堪称过山车式的刺激大战！王楚钦11-8率先赢下第一局，梁靖崑11-9、11-7、11-9连扳三局反超，王楚钦11-5、11-9连追两局将比赛拖入决胜局，王楚钦在决胜局10-9领先的情况下错失赛点连丢三分最终10-12惜败，梁靖崑以总局分4-3淘汰世界第一王楚钦。尽管本届新加坡大满贯的比赛还未全部结束，不过国乒已经正式包揽了全部5个单项的冠军，林诗栋成为头号功臣，关键三场胜利居功至伟：混双决赛，林诗栋/蒯曼3-1逆转击败日本组合松岛辉空/张本美和；男双决赛，林诗栋/王楚钦3-0中国台北组合林昀儒/高承睿，击败外协会倒数第三人和第二人；男单半决赛，林诗栋4-0艾利克斯·勒布伦，淘汰外协会最后一人，直接帮助国乒包揽5冠！,0,0,0,https://m.weibo.cn/detail/5132051864880071,3fc4f59d84bfdae1,False,neutral,中性陈述,,1,False,0.0,"[""赛果"", ""对手""]",客观转述比赛过程与结果，提及王楚钦出局但无情感倾向。,0.9,文本为赛事报道，客观陈述王楚钦惜败及国乒包揽五冠，无主观评价或情绪表达，属中性陈述。,deepseek-v4-pro
5132100399268012,loss_20250208_singapore_liang,王楚钦,loss,WTT新加坡大满贯2025男单半决赛,WTT Grand Smash,semifinal,梁靖崑,2025-02-08T20:30:00+08:00,2025-02-09T20:30:00+08:00,2025-02-09 11:25:47+08:00,14.93,王楚钦 梁靖崑 2025年2月8日,post,#王楚钦离场时盯着大屏幕看了很久#2025年2月8日，在WTT新加坡大满贯男双决赛结束后，王楚钦和林诗栋的组合夺得冠军。当王楚钦退场时，大屏幕上出现了孙颖莎的视频，伴随孙颖莎的声音“喂，你好我是孙颖莎”。现场粉丝顿时尖叫起来，王楚钦看了一眼后赶快低头。之后在男单半决赛中，王楚钦3-4不敌梁靖昆无缘决赛，在他离场时可能也会有各种情绪和思考，盯着大屏幕看可能是在回味比赛或者对接下来的安排有所关注。,#王楚钦离场时盯着大屏幕看了很久#2025年2月8日，在WTT新加坡大满贯男双决赛结束后，王楚钦和林诗栋的组合夺得冠军。当王楚钦退场时，大屏幕上出现了孙颖莎的视频，伴随孙颖莎的声音“喂，你好我是孙颖莎”。现场粉丝顿时尖叫起来，王楚钦看了一眼后赶快低头。之后在男单半决赛中，王楚钦3-4不敌梁靖昆无缘决赛，在他离场时可能也会有各种情绪和思考，盯着大屏幕看可能是在回味比赛或者对接下来的安排有所关注。,0,0,0,https://m.weibo.cn/detail/5132100399268012,31616e6ac2e414fd,False,neutral,中性陈述,,1,False,0.0,"[""赛果"", ""其他""]",描述王楚钦离场时看大屏幕的场景，猜测其情绪和思考。,0.8,文本客观叙述事件，无情绪倾向，仅陈述场景和猜测，强度极弱。,deepseek-v4-pro
